Finland - Sweden,2:3,2.49,4.2,2.62,08.11.2015
Russia - Czech Republic,3:4 pen.,1.53,5.41,5.55,08.11.2015
Czech Republic - Finland,1:2,4.75,4.81,1.65,07.11.2015
Russia - Sweden,6:3,2.35,4.4,2.65,07.11.2015
Finland - Russia,2:1,2.79,4.3,2.3,05.11.2015
Sweden - Czech Republic,6:2,1.8,4.8,4.25,05.11.2015
Finland - Sweden,0:3,2.2,4.2,3.45,09.11.2014
Russia - Czech Republic,4:2,1.65,4.74,4.87,09.11.2014
Czech Republic - Sweden,3:4 pen.,4.85,4.75,1.7,08.11.2014
Russia - Finland,2:6,2.2,4.3,3.13,08.11.2014
Finland - Czech Republic,2:1,1.65,5,5.64,06.11.2014
Sweden - Russia,5:4 pen.,2.6,4.25,2.59,06.11.2014
Czech Republic - Russia,0:2,5.35,5,1.62,10.11.2013
Finland - Sweden,2:3 ET,1.9,4.45,3.8,10.11.2013
Finland - Czech Republic,3:2,1.75,5.24,5.34,09.11.2013
Sweden - Russia,2:5,2.95,4.2,2.25,09.11.2013
Russia - Finland,3:4,2.89,4.2,2.4,07.11.2013
Sweden - Czech Republic,6:0,2.1,4.5,3.15,07.11.2013
Czech Republic - Russia,2:1,3.22,4.5,2.15,10.11.2012
Finland - Sweden,3:1,2.04,4.5,3.3,10.11.2012
Finland - Czech Republic,0:1,2.2,4.5,3.5,09.11.2012
Sweden - Russia,2:3,3.4,4.5,2.1,09.11.2012
Czech Republic - Sweden,3:1,2.2,4.58,2.89,07.11.2012
Russia - Finland,1:2 pen.,2.5,4.5,2.62,07.11.2012
Czech Republic - Russia,1:2,4.62,5.11,1.72,13.11.2011
Finland - Sweden,3:4,1.65,5.05,4.9,13.11.2011
Finland - Czech Republic,4:0,1.9,4.55,3.7,12.11.2011
Sweden - Russia,1:4,3.7,4.82,1.95,12.11.2011
Russia - Finland,2:1 pen.,2.63,4.5,2.4,10.11.2011
Sweden - Czech Republic,2:5,1.91,4.8,3.5,10.11.2011
Czech Republic - Russia,1:3,3.98,4.67,1.75,14.11.2010
Finland - Sweden,4:1,2.2,4.58,3.25,14.11.2010
Finland - Czech Republic,5:0,2.1,4.63,3.43,13.11.2010
Sweden - Russia,3:2,3.9,4.63,1.95,13.11.2010
Czech Republic - Sweden,3:4,1.9,4.7,3.86,11.11.2010
Russia - Finland,1:0,2.5,4.48,2.49,11.11.2010
Czech Republic - Russia,3:4 ET,4.65,5.75,1.65,08.11.2009
Finland - Sweden,7:0,2.1,4.34,2.88,08.11.2009
Finland - Czech Republic,2:1,2,4.5,3.05,07.11.2009
Sweden - Russia,1:4,3.15,4.5,2,07.11.2009
Russia - Finland,4:3 pen.,2.2,4.5,2.9,05.11.2009
Sweden - Czech Republic,4:3,2,4.5,3.3,05.11.2009
Finland - Sweden,0:2,2.25,4.5,3,09.11.2008
Russia - Czech Republic,1:0 pen.,1.83,4.7,3.95,09.11.2008
Finland - Russia,2:6,2.95,4.5,2.1,08.11.2008
Sweden - Czech Republic,1:4,2.54,4.25,2.85,08.11.2008
Czech Republic - Finland,3:4 pen.,3.3,4.5,2.4,06.11.2008
Russia - Sweden,1:0,2,5.2,5.2,06.11.2008
Finland - Sweden,0:1,2.29,4.34,2.6,11.11.2007
Russia - Czech Republic,4:1,1.95,4.5,3.6,11.11.2007
Finland - Russia,2:1,2.38,4.25,2.6,10.11.2007
Sweden - Czech Republic,4:2,2.2,4.3,2.9,10.11.2007
Finland - Czech Republic,2:3,2,4.4,3.65,08.11.2007
Sweden - Russia,1:3,2.25,4.3,2.75,08.11.2007
Czech Republic - Russia,2:3 pen.,2.8,4.4,2.2,12.11.2006
Finland - Sweden,0:1,2.1,4.45,2.82,12.11.2006
Czech Republic - Finland,1:2,3,4.4,2.04,11.11.2006
Russia - Sweden,5:4,2.35,4.33,2.54,11.11.2006
Czech Republic - Sweden,5:4,2.2,4.4,2.75,09.11.2006
Finland - Russia,2:3,2,4.4,3.1,09.11.2006