Anaheim Ducks - San Jose Sharks,3:2 ET,2.35,4.05,2.8,10.10.2016
Detroit Red Wings - Toronto Maple Leafs,4:3,2.05,4.1,3.25,09.10.2016
Edmonton Oilers - Vancouver Canucks,2:3,2.2,4,2.88,09.10.2016
Florida Panthers - New Jersey Devils,4:2,2.25,3.9,2.9,09.10.2016
Los Angeles Kings - Colorado Avalanche,1:2 ET,2,4,3.25,09.10.2016
Minnesota Wild - Winnipeg Jets,5:1,2.15,3.95,3.1,09.10.2016
St.Louis Blues - Chicago Blackhawks,2:1,2.6,3.95,2.7,09.10.2016
Tampa Bay Lightning - Nashville Predators,5:3,2.18,4.1,2.9,09.10.2016
Washington Capitals - New York Islanders,4:0,1.9,4.45,3.35,09.10.2016
Arizona Coyotes - San Jose Sharks,3:1,2.8,4.2,2.33,08.10.2016
Boston Bruins - Philadelphia Flyers,1:0 ET,2.3,4,2.95,08.10.2016
Carolina Hurricanes - Washington Capitals,3:2 pen.,2.8,4,2.35,08.10.2016
Los Angeles Kings - Dallas Stars,3:6,2.31,4,2.65,08.10.2016
Ottawa Senators - Buffalo Sabres,2:4,2.15,4.2,3.15,08.10.2016
Pittsburgh Penguins - Columbus Blue Jackets,3:5,1.95,4.33,4,08.10.2016
Toronto Maple Leafs - Detroit Red Wings,1:2,2.45,4,2.6,08.10.2016
Columbus Blue Jackets - Boston Bruins,1:2,2.4,4.2,3.1,07.10.2016
Edmonton Oilers - Winnipeg Jets,5:2,2.3,4.05,2.7,07.10.2016
Florida Panthers - Tampa Bay Lightning,POSTP.,2.45,4,2.45,07.10.2016
Montreal Canadiens - Toronto Maple Leafs,6:1,2.05,4.2,3.6,07.10.2016
New York Rangers - Philadelphia Flyers,2:4,2.22,4,2.85,07.10.2016
Vancouver Canucks - Calgary Flames,4:0,2.45,3.95,3,07.10.2016
Calgary Flames - Arizona Coyotes,2:1 pen.,2.15,4,3,06.10.2016
Carolina Hurricanes - Buffalo Sabres,3:2 pen.,2.25,4,2.8,06.10.2016
Dallas Stars - Colorado Avalanche,0:1,1.95,4.2,3.35,06.10.2016
New Jersey Devils - New York Islanders,2:3,2.65,4,2.75,06.10.2016
Pittsburgh Penguins - Detroit Red Wings,2:5,1.75,4.5,4.4,06.10.2016
San Jose Sharks - Anaheim Ducks,0:2,2.21,4,2.8,06.10.2016
St.Louis Blues - Washington Capitals,2:4,2.31,4.2,2.65,06.10.2016
Buffalo Sabres - Carolina Hurricanes,2:0,2.1,4.3,3,05.10.2016
Chicago Blackhawks - Detroit Red Wings,6:1,2.2,4.2,3.3,05.10.2016
Colorado Avalanche - Minnesota Wild,2:0,2.26,4.1,2.8,05.10.2016
Dallas Stars - Florida Panthers,2:1 pen.,2,4.2,3.3,05.10.2016
Edmonton Oilers - Anaheim Ducks,2:1,2.8,4,2.7,05.10.2016
Montreal Canadiens - Boston Bruins,4:3,2.5,4.3,2.7,05.10.2016
Nashville Predators - Columbus Blue Jackets,2:3 ET,1.77,4.3,4.15,05.10.2016
New York Islanders - New York Rangers,3:2 ET,2.6,3.9,2.65,05.10.2016
Ottawa Senators - Toronto Maple Leafs,3:2 ET,2.2,3.95,3.1,05.10.2016
New York Islanders - New Jersey Devils,4:3,2.05,4.05,3.25,04.10.2016
Philadelphia Flyers - New York Rangers,4:3 ET,2.35,4,2.6,04.10.2016
Vancouver Canucks - Arizona Coyotes,2:4,2.25,4.1,2.95,04.10.2016
Washington Capitals - St.Louis Blues,2:1 pen.,2.1,4.2,3.5,04.10.2016
Winnipeg Jets - Ottawa Senators,4:2,2.05,4.1,3.3,04.10.2016
Anaheim Ducks - Los Angeles Kings,0:1,2.15,4,2.85,03.10.2016
Calgary Flames - Winnipeg Jets,0:4,2.35,4.1,2.65,03.10.2016
Detroit Red Wings - Chicago Blackhawks,6:3,2.25,4,2.95,03.10.2016
Edmonton Oilers - Los Angeles Kings,3:2,2.36,4,2.45,03.10.2016
Minnesota Wild - Carolina Hurricanes,3:1,1.9,4.33,3.9,03.10.2016
Toronto Maple Leafs - Montreal Canadiens,3:2 ET,2.4,4.2,2.9,03.10.2016
Vancouver Canucks - San Jose Sharks,2:3 ET,2.75,3.95,2.35,03.10.2016
Arizona Coyotes - Anaheim Ducks,3:2 ET,2.75,4,2.38,02.10.2016
Chicago Blackhawks - St.Louis Blues,4:0,2.15,4.2,3.1,02.10.2016
Columbus Blue Jackets - Pittsburgh Penguins,0:2,2.85,4,2.4,02.10.2016
Florida Panthers - Dallas Stars,1:2 ET,2.35,4.3,2.5,02.10.2016
Nashville Predators - Tampa Bay Lightning,4:3,2.4,4.1,2.45,02.10.2016
New Jersey Devils - New York Rangers,5:4,2.85,4.15,2.35,02.10.2016
New York Islanders - Washington Capitals,1:2,2.45,4,2.5,02.10.2016
Philadelphia Flyers - Boston Bruins,3:4 pen.,2.3,4.25,3,02.10.2016
Buffalo Sabres - Toronto Maple Leafs,1:8,2.2,4,2.85,01.10.2016
Calgary Flames - Vancouver Canucks,2:1,2.3,4,2.8,01.10.2016
Carolina Hurricanes - Tampa Bay Lightning,1:2 ET,2.63,4.05,2.7,01.10.2016
Colorado Avalanche - Los Angeles Kings,3:1,2.75,4,2.3,01.10.2016
Detroit Red Wings - Boston Bruins,1:2 ET,2.25,4,3,01.10.2016
Ottawa Senators - Montreal Canadiens,2:3 ET,2.4,4.25,3.25,01.10.2016
Pittsburgh Penguins - Chicago Blackhawks,1:0,2.4,4,2.7,01.10.2016
San Jose Sharks - Arizona Coyotes,3:2 ET,1.9,4.25,3.5,01.10.2016
St.Louis Blues - Dallas Stars,4:1,2.35,4,2.75,01.10.2016
Winnipeg Jets - Edmonton Oilers,5:1,2.1,4.1,3.15,01.10.2016
Columbus Blue Jackets - Nashville Predators,3:2 ET,2.4,4,2.7,30.09.2016
Montreal Canadiens - Ottawa Senators,3:4 ET,2.3,4.1,3.25,30.09.2016
New York Rangers - New Jersey Devils,3:1,2.05,4,3.5,30.09.2016
Tampa Bay Lightning - Florida Panthers,2:0,2.15,4,3,30.09.2016
Toronto Maple Leafs - Buffalo Sabres,0:1 pen.,2.35,3.95,2.7,30.09.2016
Winnipeg Jets - Minnesota Wild,4:1,2.26,4,2.85,30.09.2016
Boston Bruins - Detroit Red Wings,1:5,2.45,4,2.7,29.09.2016
Chicago Blackhawks - Pittsburgh Penguins,0:2,2.25,4,2.9,29.09.2016
Colorado Avalanche - Dallas Stars,4:2,2.45,4.05,2.6,29.09.2016
Los Angeles Kings - Anaheim Ducks,6:1,2.2,4,2.9,29.09.2016
Philadelphia Flyers - New Jersey Devils,2:0,2.3,3.9,2.85,29.09.2016
Vancouver Canucks - Edmonton Oilers,5:3,2.8,4.05,2.45,29.09.2016
Anaheim Ducks - Arizona Coyotes,1:2,2.05,4.2,3.3,28.09.2016
Buffalo Sabres - Ottawa Senators,3:2 ET,2.35,4,2.65,28.09.2016
Detroit Red Wings - Pittsburgh Penguins,4:2,2.45,4.05,2.5,28.09.2016
Florida Panthers - Nashville Predators,1:2,,,,28.09.2016
Minnesota Wild - Colorado Avalanche,1:4,2.1,3.95,3,28.09.2016
Montreal Canadiens - Washington Capitals,5:2,2.55,3.9,2.5,28.09.2016
New York Rangers - New York Islanders,5:2,2.1,3.8,2.95,28.09.2016
Philadelphia Flyers - New York Islanders,4:0,1.96,4,3.15,28.09.2016
San Jose Sharks - Vancouver Canucks,3:2 ET,2.05,4.2,3.3,28.09.2016
Tampa Bay Lightning - Carolina Hurricanes,2:3,2.05,4.2,3.4,28.09.2016
Winnipeg Jets - Calgary Flames,0:3,2.26,4.2,2.85,28.09.2016
Arizona Coyotes - Los Angeles Kings,5:3,2.45,3.85,2.45,27.09.2016
Boston Bruins - Columbus Blue Jackets,2:3 pen.,2.3,4,2.9,27.09.2016
Buffalo Sabres - Minnesota Wild,1:2,2.5,4,2.6,27.09.2016
Calgary Flames - Edmonton Oilers,1:2,2.16,4,2.75,27.09.2016
Dallas Stars - St.Louis Blues,3:1,2.15,4.2,2.9,27.09.2016
Edmonton Oilers - Calgary Flames,4:2,2.4,3.85,2.5,27.09.2016
Florida Panthers - Nashville Predators,4:1,,,,27.09.2016
Los Angeles Kings - Arizona Coyotes,4:3,2,3.95,3.1,27.09.2016
Montreal Canadiens - New Jersey Devils,2:3,1.91,4.1,3.4,27.09.2016
New Jersey Devils - Philadelphia Flyers,2:0,1.87,4.5,3.25,27.09.2016
New York Islanders - Philadelphia Flyers,3:0,1.85,4.2,3.5,27.09.2016
Toronto Maple Leafs - Ottawa Senators,3:6,2.4,4.2,2.7,27.09.2016
Washington Capitals - Carolina Hurricanes,1:2 ET,1.95,4.2,3.6,27.09.2016
Columbus Blue Jackets - St.Louis Blues,0:5,2.8,3.85,2.45,26.09.2016
St.Louis Blues - Columbus Blue Jackets,7:3,2.2,4,3.2,25.09.2016