TPS - Sport,1:1,,,,05.08.2016
Lukko - Ässät,0:0,,,,05.08.2016
Sport - HIFK,0:1,,,,05.08.2016
Ässät - Jukurit,1:1,,,,05.08.2016
HIFK - TPS,0:1,,,,05.08.2016
Lukko - Jukurit,2:0,,,,05.08.2016
Lukko - HIFK,2:1,,,,05.08.2016
TPS - Ässät,2:0,,,,05.08.2016
Lukko - TPS,2:4,,,,05.08.2016
Kärpät - Ässät,0:2,,,,09.08.2016
Jukurit - TPS,2:1,,,,10.08.2016
KalPa - SaiPa,1:4,,,,10.08.2016
Pelicans - KooKoo,0:3,,,,12.08.2016
HIFK - TPS,2:5,,,,12.08.2016
KalPa - Jukurit,4:2,,,,12.08.2016
SaiPa - JYP,1:3,,,,12.08.2016
Tappara - Ilves,2:0,,,,12.08.2016
JYP - Pelicans,2:3 ET,,,,13.08.2016
Ilves - HIFK,2:1 pen.,,,,13.08.2016
KooKoo - SaiPa,3:4 ET,,,,13.08.2016
Tappara - TPS,1:0,,,,13.08.2016
Ässät - Jukurit,2:1,,,,16.08.2016
KooKoo - Lukko,2:4,,,,17.08.2016
Ilves - HPK,3:2,,,,18.08.2016
Jukurit - Sport,2:1 pen.,,,,18.08.2016
Sport - Jukurit,2:3 pen.,,,,19.08.2016
Ässät - Lukko,6:2,,,,19.08.2016
HPK - Ilves,2:3,,,,20.08.2016
Jukurit - JYP,1:2,,,,24.08.2016
HPK - Ässät,4:2,,,,25.08.2016
KooKoo - HPK,1:2,,,,26.08.2016
SaiPa - HPK,0:8,,,,30.08.2016
Sport - Lukko,0:2,,,,30.08.2016
KooKoo - Ässät,2:3 ET,,,,31.08.2016
Kärpät - KalPa,3:5,,,,31.08.2016
SaiPa - KooKoo,1:4,,,,01.09.2016
Sport - Ilves,2:5,,,,01.09.2016
Ilves - Ässät,1:2,,,,06.09.2016
JYP - Jukurit,4:1,,,,06.09.2016
Kärpät - Sport,2:4,,,,06.09.2016
Jukurit - Pelicans,0:1,,,,08.09.2016
Ässät - Ilves,2:1,,,,08.09.2016
HPK - KooKoo,1:4,,,,09.09.2016